p-CarbomethoxybenzamideA.p-Carbomethoxylbenzamide.A	4	43	0	1	aAaaaaaaaaaaaaaaaaaaaaAaAaaaaaaaaaaaaaaaaaaaaaA	1	ppp-p-CA.Ae.Ade.A	0
magnetic	0	8	0	0	aaaaaaaa	1	mmmamagcicticetic	0
temperature40-45ºC).	1	12	4	1	aaaaaaaaaaa0000aA	1	tttetem.).C).ºC).	0
(40ml	0	2	2	1	00aa	1	(((4(40lml0ml40ml	0
tolueneCLASS	5	7	0	0	aaaaaaaAAAAA	1	tttotolSSSASSLASS	0
T03541AmidesCLASS	7	5	5	0	A00000AaaaaaAAAAA	1	TTT0T03SSSASSLASS	0
round-bottomedflaskanddried	0	26	0	1	aaaaaaaaaaaaaaaaaaaaaaaaaa	1	rrroroudediedried	0
arefluxcondenserand	0	19	0	0	aaaaaaaaaaaaaaaaaaa	1	aaararedndandrand	0
163168ArgonCLASS	6	4	6	0	000000AaaaaAAAAA	1	1116163SSSASSLASS	0
mmHg,bathtemperature40-45	1	18	4	1	aaAaaaaaaaaaaaaaaaa0000	1	mmmmmmH545-450-45	0
solidistransferred	0	18	0	0	aaaaaaaaaaaaaaaaaa	1	sssosoldedredrred	0
(Notes4and	1	7	1	1	Aaaaa0aaa	1	(((N(Nodndand4and	0
under	0	5	0	0	aaaaa	1	uuunundrerdernder	0
)for4	0	3	1	1	aaa0	1	)))f)fo4r4or4for4	0
27p-CarbomethoxylbenzamideCLASSV89P0066	8	22	8	1	00aAaaaaaaaaaaaaaaaaaaaaaAAAAAA00A0000	1	222727p6660660066	0
acetaldoxime(9.2	0	12	2	1	aaaaaaaaaaaa00	1	aaacace2.29.2(9.2	0
ofNitrilestoAmides:	2	16	0	1	aaAaaaaaaaaaAaaaaa	1	ooofofN:s:es:des:	0
Wilkinson'scatalystCLASSV89P0066	8	17	6	1	AaaaaaaaaaaaaaaaaaAAAAAA00A0000	1	WWWiWil6660660066	0
allowedtocooldown	0	17	0	0	aaaaaaaaaaaaaaaaa	1	aaalallnwnowndown	0
156mmol	0	4	3	0	000aaaa	1	1115156lolmolmmol	0
catalystCLASSV89P0066S1	8	8	7	0	aaaaaaaaAAAAAA00A0000A0	1	cccacat1S16S166S1	0
resultingmixture	0	16	0	0	aaaaaaaaaaaaaaaa	1	rrreresereureture	0
.Thereactionmixtureis	1	19	0	1	Aaaaaaaaaaaaaaaaaaaa	1	...T.Thsiseisreis	0
HydrationofNitriles	2	17	0	0	AaaaaaaaaaaAaaaaaaa	1	HHHyHydseslesiles	0
,Wilkinson'scatalyst	1	17	0	1	Aaaaaaaaaaaaaaaaaa	1	,,,W,Witstystlyst	0
througha	0	8	0	0	aaaaaaaa	1	ttththrahaghaugha	0
Argonbubblerischargedwith	1	24	0	0	Aaaaaaaaaaaaaaaaaaaaaaaaa	1	AAArArghthithwith	0
5.0g,	0	1	2	1	00a	1	555.5.0,g,0g,.0g,	0
994999waterCLASS	5	5	6	0	000000aaaaaAAAAA	1	9999994SSSASSLASS	0
S1723728Water	2	4	7	0	A0000000Aaaaa	1	SSS1S17rerterater	0
isconcentrated	0	14	0	0	aaaaaaaaaaaaaa	1	iiisiscdedtedated	0
transferredtoa50-mLround-bottomed	1	28	2	1	aaaaaaaaaaaaaa00aAaaaaaaaaaaaaa	1	tttrtradedmedomed	0
whitesolid.V89P0066S1	3	10	7	1	aaaaaaaaaaA00A0000A0	1	wwwhwhi1S16S166S1	0
'scatalystCLASSV89P0066S1	8	9	7	1	aaaaaaaaaAAAAAA00A0000A0	1	'''s'sc1S16S166S1	0
,arefluxcondenserand	0	19	0	1	aaaaaaaaaaaaaaaaaaa	1	,,,a,ardndandrand	0
10)aa	0	2	2	1	00aa	1	111010)aaa)aa0)aa	0
Hydration	1	8	0	0	Aaaaaaaaa	1	HHHyHydnoniontion	0
723728	0	0	6	0	000000	1	77727238287283728	0
)(Notes4	1	4	1	1	Aaaaa0	1	)))()(N4s4es4tes4	0
(Note8).	1	3	1	1	Aaaa0	1	(((N(No.).8).e8).	0
temperature)underairfor	0	22	0	1	aaaaaaaaaaaaaaaaaaaaaa	1	tttetemrorforrfor	0
(9.2g,9.5	0	1	4	1	00a00	1	(((9(9.5.59.5,9.5	0
,156mmol,	0	4	3	1	000aaaa	1	,,,1,15,l,ol,mol,	0
mmol)(Note1	1	7	1	1	aaaaAaaa0	1	mmmmmmo1e1te1ote1	0
S1372	1	0	4	0	A0000	1	SSS1S132723721372	0
(20mL)	1	1	2	1	00aA	1	(((2(20)L)mL)0mL)	0
5.1g	0	1	2	1	00a	1	555.5.1g1g.1g5.1g	0
cooldownto	0	10	0	0	aaaaaaaaaa	1	cccocoootontownto	0
g,31mmol)	0	5	2	1	a00aaaa	1	ggg,g,3)l)ol)mol)	0
Thereaction	1	10	0	0	Aaaaaaaaaaa	1	TTThThenoniontion	0
T02331	1	0	5	0	A00000	1	TTT0T021313312331	0
temperature130ºC)for	1	15	3	1	aaaaaaaaaaa000aAaaa	1	tttetemrorfor)for	0
vacuum(	0	6	0	1	aaaaaa	1	vvvavac(m(um(uum(	0
A.p-Carbomethoxylbenzamide.A	3	22	0	1	AaAaaaaaaaaaaaaaaaaaaaaaA	1	AAA.A.pA.Ae.Ade.A	0
ºC).	1	1	0	1	aA	1	ºººCºC).).C).ºC).	0
onrotaryevaporator(20-30	0	18	4	1	aaaaaaaaaaaaaaaaaa0000	1	ooononr030-300-30	0
Thesolid	1	7	0	0	Aaaaaaaa	1	TTThThedidlidolid	0
temperature(	0	11	0	1	aaaaaaaaaaa	1	tttetem(e(re(ure(	0
temperature)	0	11	0	1	aaaaaaaaaaa	1	tttetem)e)re)ure)	0
reagent:methyl	0	13	0	1	aaaaaaaaaaaaa	1	rrrerealylhylthyl	0
waterCLASSV89P0066T023	8	5	9	0	aaaaaAAAAAA00A0000A000	1	wwwawat323023T023	0
single-necked	0	12	0	1	aaaaaaaaaaaa	1	sssisindedkedcked	0
4and5)	0	3	2	1	0aaa0	1	444a4an)5)d5)nd5)	0
mL	1	1	0	0	aA	0		0
.V89P0066S1307	3	0	10	1	A00A0000A0000	1	...V.V87073071307	0
92	0	0	2	0	00	0		0
%)ofp-carbomethoxylbenzamide(	0	25	0	1	aaaaaaaaaaaaaaaaaaaaaaaaa	1	%%%)%)o(e(de(ide(	0
mg	0	2	0	0	aa	0		0
withthefollowingorderof	0	23	0	0	aaaaaaaaaaaaaaaaaaaaaaa	1	wwwiwitfofroferof	0
andthenisallowedto	0	18	0	0	aaaaaaaaaaaaaaaaaa	1	aaanandotodtoedto	0
mm	0	2	0	0	aa	0		0
ml	0	2	0	0	aa	0		0
bathtemperature40-45ºC	1	16	4	1	aaaaaaaaaaaaaaa0000aA	1	bbbabatCºC5ºC45ºC	0
2331NitrilesCLASSV89P0066	8	7	10	0	0000AaaaaaaaAAAAAA00A0000	1	22232336660660066	0
thefollowingorderofthe	0	22	0	0	aaaaaaaaaaaaaaaaaaaaaa	1	ttththeehethefthe	0
307327	0	0	6	0	000000	1	33303077273277327	0
V89P0066S1994	3	0	10	0	A00A0000A0000	1	VVV8V894949941994	0
CLASSV89P0066T03541	8	0	11	0	AAAAAA00A0000A00000	1	CCCLCLA1415413541	0
5.1g(92	0	1	4	1	00a00	1	555.5.1292(92g(92	0
S1723728	1	0	7	0	A0000000	1	SSS1S178287283728	0
rotaryevaporator(	0	16	0	1	aaaaaaaaaaaaaaaa	1	rrrorot(r(or(tor(	0
tolueneCLASSV89P0066S1723	8	7	10	0	aaaaaaaAAAAAA00A0000A0000	1	tttotol3237231723	0
and10)aa	0	5	2	1	aaa00aa	1	aaanandaaa)aa0)aa	0
Büchner	1	6	0	0	Aaaaaaa	1	BBBüBücrernerhner	0
magneticstirringbar(round	0	24	0	1	aaaaaaaaaaaaaaaaaaaaaaaa	1	mmmamagdndundound	0
A	1	0	0	0	A	0		0
stirringbar(	0	11	0	1	aaaaaaaaaaa	1	ssststi(r(ar(bar(	0
mol%)(Note	1	6	0	1	aaaAaaa	1	mmmomoleteoteNote	0
toroomtemperature(Note	1	20	0	1	aaaaaaaaaaaaaaaaaAaaa	1	tttotoreteoteNote	0
),toluene	0	7	0	1	aaaaaaa	1	))),),teneeneuene	0
order	0	5	0	0	aaaaa	1	ooorordrerderrder	0
torefluxwithan	0	14	0	0	aaaaaaaaaaaaaa	1	tttotornanhanthan	0
mmHg	1	3	0	0	aaAa	1	mmmmmmHgHgmHgmmHg	0
Notes4and5	1	7	2	0	Aaaaa0aaa0	1	NNNoNot5d5nd5and5	0
Hydrationof	1	10	0	0	Aaaaaaaaaaa	1	HHHyHydfofnofonof	0
and7).	0	3	1	1	aaa0	1	aaanand.).7).d7).	0
.A100-mLsingle-necked	2	13	3	1	A000aAaaaaaaaaaaaa	1	...A.A1dedkedcked	0
A100-mLsingle-necked,round-bottomed	2	26	3	1	A000aAaaaaaaaaaaaaaaaaaaaaaaaaa	1	AAA1A10dedmedomed	0
WaterCLASSV89P0066	8	4	6	0	AaaaaAAAAAA00A0000	1	WWWaWat6660660066	0
mmol,5.0	0	4	2	1	aaaa00	1	mmmmmmo0.05.0,5.0	0
,	0	0	0	1		0		0
0.1mmHg)	1	3	2	1	00aaAa	1	000.0.1)g)Hg)mHg)	0
